Rosa,Canadian
6.191,5.472
5.998,5.541
5.978,5.389
6.154,5.224
6.017,5.314
5.927,5.279
6.064,5.176
6.579,5.267
6.445,5.386
5.850,5.317
5.875,5.263
6.006,5.405
6.285,5.408
6.384,5.220
6.366,5.175
6.173,5.250
6.084,5.053
6.549,5.394
6.573,5.444
6.450,5.304
6.581,5.451
6.172,5.350
6.272,5.267
6.037,5.333
6.666,5.011
6.139,5.105
6.341,5.319
6.449,5.417
6.271,5.176
6.219,5.090
5.718,5.325
5.890,5.167
6.113,5.088
6.369,5.136
6.248,5.278
6.037,4.981
6.152,5.186
6.033,5.145
6.675,5.180
6.153,5.357
6.107,5.090
6.303,5.236
6.183,5.240
6.259,5.108
6.563,5.495
6.416,5.363
6.051,5.413
6.245,5.088
6.227,5.089
6.493,4.899
6.315,5.046
6.059,5.091
5.762,5.132
5.980,5.180
5.363,5.236
6.111,5.160
6.285,5.224
5.979,5.320
6.513,5.410
5.791,5.073
5.979,5.219
6.144,4.984
5.884,5.009
5.845,5.183
5.776,5.204
5.477,5.137
6.145,5.140
5.920,5.236
5.832,5.175
5.872,5.243
